com.samsung.shealth.tracker.pedometer_day_summary,6190043,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5150,725caac0-e3c8-4bdb-8101-5bea0685f1f1.binning_data.json,2443315,10000,216,00:00.7,com.sec.android.app.shealth,00:00.7,,1.5208516,3715.92,181.33998,4934,EIy+BrLOSY,com.sec.android.app.shealth,0,725caac0-e3c8-4bdb-8101-5bea0685f1f1.achievement.json,725caac0-e3c8-4bdb-8101-5bea0685f1f1,1.62251E+12
5150,49e1855e-c0dc-40ae-a4f9-b20339d0da6c.binning_data.json,2443315,10000,216,40:01.1,com.sec.android.app.shealth,39:06.1,49e1855e-c0dc-40ae-a4f9-b20339d0da6c.source_info.json,1.5208516,3715.92,181.33998,4934,VfS0qUERdZ,com.sec.android.app.shealth,0,49e1855e-c0dc-40ae-a4f9-b20339d0da6c.achievement.json,49e1855e-c0dc-40ae-a4f9-b20339d0da6c,1.62251E+12
3377,e8e1fbac-d26e-4886-934b-256ddd7ffe6f.binning_data.json,1871431,10000,0,18:34.7,com.sec.android.app.shealth,11:11.3,e8e1fbac-d26e-4886-934b-256ddd7ffe6f.source_info.json,1.294517,2422.6,98.81,3377,VfS0qUERdZ,com.sec.android.app.shealth,0,e8e1fbac-d26e-4886-934b-256ddd7ffe6f.achievement.json,e8e1fbac-d26e-4886-934b-256ddd7ffe6f,1.62233E+12
2144,7b550f5c-e24f-4920-bebe-db7f32f4f084.binning_data.json,1039739,10000,94,42:52.5,com.sec.android.app.shealth,42:52.5,,1.5183231,1578.66,73.02998,2050,EIy+BrLOSY,com.sec.android.app.shealth,0,7b550f5c-e24f-4920-bebe-db7f32f4f084.achievement.json,7b550f5c-e24f-4920-bebe-db7f32f4f084,1.62242E+12
3377,9b5fe495-53b8-433e-ba41-53c98f27a26c.binning_data.json,1871431,10000,0,03:39.2,com.sec.android.app.shealth,03:39.2,,1.294517,2422.6,98.81,3377,EIy+BrLOSY,com.sec.android.app.shealth,0,9b5fe495-53b8-433e-ba41-53c98f27a26c.achievement.json,9b5fe495-53b8-433e-ba41-53c98f27a26c,1.62233E+12
2144,95c8ba94-e8c8-42eb-9ea8-c6b6f3c63064.binning_data.json,1039739,10000,94,55:13.2,com.sec.android.app.shealth,33:27.4,95c8ba94-e8c8-42eb-9ea8-c6b6f3c63064.source_info.json,1.5183231,1578.66,73.02998,2050,VfS0qUERdZ,com.sec.android.app.shealth,0,95c8ba94-e8c8-42eb-9ea8-c6b6f3c63064.achievement.json,95c8ba94-e8c8-42eb-9ea8-c6b6f3c63064,1.62242E+12
5139,24c57195-b6a0-4393-a0f6-d0f162f424bd.binning_data.json,2592167,10000,74,00:01.4,com.sec.android.app.shealth,00:01.4,,1.4339044,3716.92,172.18997,5065,EIy+BrLOSY,com.sec.android.app.shealth,0,24c57195-b6a0-4393-a0f6-d0f162f424bd.achievement.json,24c57195-b6a0-4393-a0f6-d0f162f424bd,1.62276E+12
5139,f916921b-6061-4bf5-b861-59289fee1ff3.binning_data.json,2592167,10000,74,56:45.3,com.sec.android.app.shealth,18:16.9,f916921b-6061-4bf5-b861-59289fee1ff3.source_info.json,1.4339044,3716.92,172.18997,5065,VfS0qUERdZ,com.sec.android.app.shealth,0,f916921b-6061-4bf5-b861-59289fee1ff3.achievement.json,f916921b-6061-4bf5-b861-59289fee1ff3,1.62276E+12
5693,d245b1e3-4504-48bb-bb8c-0571b4c3e4da.binning_data.json,2910507,10000,118,15:21.2,com.sec.android.app.shealth,35:05.9,d245b1e3-4504-48bb-bb8c-0571b4c3e4da.source_info.json,1.4534682,4230.3306,194.30997,5575,VfS0qUERdZ,com.sec.android.app.shealth,0,d245b1e3-4504-48bb-bb8c-0571b4c3e4da.achievement.json,d245b1e3-4504-48bb-bb8c-0571b4c3e4da,1.62259E+12
409,20416c01-bfa2-4923-89cb-da96e1832575.binning_data.json,238278,10000,0,00:00.5,com.sec.android.app.shealth,00:00.5,,1.2346041,294.18,13.85,409,EIy+BrLOSY,com.sec.android.app.shealth,0,20416c01-bfa2-4923-89cb-da96e1832575.achievement.json,20416c01-bfa2-4923-89cb-da96e1832575,1.62268E+12
